gk_name,team,match_id,minute,period,action_type,action_category,action_outcome,action_x,action_y,body_part,technique
Fehmi Mert Günok,Turkey,3930184,1,1,Shot Saved,Save,Touched Out,2.1,40.3,Both Hands,Diving
Fehmi Mert Günok,Turkey,3930184,2,1,Collected,Other,Success,5.2,34.7,,
Jindřich Staněk,Czech Republic,3930184,6,1,Shot Faced,Save,,1.7,43.2,,
Jindřich Staněk,Czech Republic,3930184,12,1,Shot Faced,Save,,1.7,40.3,,
Fehmi Mert Günok,Turkey,3930184,14,1,Shot Saved,Save,Success,1.0,40.4,Both Hands,Standing
Fehmi Mert Günok,Turkey,3930184,16,1,Shot Faced,Save,,0.9,40.5,,
Fehmi Mert Günok,Turkey,3930184,22,1,Shot Faced,Save,,1.0,40.8,,
Jindřich Staněk,Czech Republic,3930184,26,1,Shot Faced,Save,,2.1,44.1,,
Jindřich Staněk,Czech Republic,3930184,26,1,Shot Faced,Save,,0.6,40.4,,
Jindřich Staněk,Czech Republic,3930184,27,1,Shot Faced,Save,,1.6,40.9,,
Jindřich Staněk,Czech Republic,3930184,41,1,Shot Faced,Save,,2.6,35.4,,
Jindřich Staněk,Czech Republic,3930184,42,1,Shot Faced,Save,,1.5,38.7,,
Fehmi Mert Günok,Turkey,3930184,44,1,Shot Saved,Save,Touched Out,6.4,50.1,Chest,Standing
Jindřich Staněk,Czech Republic,3930184,48,1,Shot Faced,Save,,3.1,38.4,,
Jindřich Staněk,Czech Republic,3930184,45,2,Shot Saved,Save,In Play Danger,1.5,36.6,Right Hand,Diving
Jindřich Staněk,Czech Republic,3930184,46,2,Shot Faced,Save,,2.4,40.5,,
Fehmi Mert Günok,Turkey,3930184,47,2,Keeper Sweeper,Sweeper,Claim,13.5,25.8,,
Fehmi Mert Günok,Turkey,3930184,49,2,Shot Saved,Save,Saved Twice,2.7,38.2,Both Hands,Standing
Jindřich Staněk,Czech Republic,3930184,50,2,Shot Faced,Save,,2.2,39.8,,
Jindřich Staněk,Czech Republic,3930184,50,2,Shot Saved,Save,In Play Danger,2.2,39.5,Right Hand,Standing
Jindřich Staněk,Czech Republic,3930184,50,2,Shot Faced,Save,,3.4,41.1,,
Jindřich Staněk,Czech Republic,3930184,50,2,Goal Conceded,Other,No Touch,1.9,43.4,,Standing
Matěj Kovář,Czech Republic,3930184,57,2,Keeper Sweeper,Sweeper,Claim,12.3,27.3,,
Fehmi Mert Günok,Turkey,3930184,59,2,Keeper Sweeper,Sweeper,Claim,11.4,36.2,,
Fehmi Mert Günok,Turkey,3930184,63,2,Shot Saved,Save,In Play Danger,1.4,37.6,Both Hands,Standing
Fehmi Mert Günok,Turkey,3930184,65,2,Collected,Other,Fail,3.3,36.4,,
Fehmi Mert Günok,Turkey,3930184,65,2,Shot Faced,Save,,4.9,36.4,,
Fehmi Mert Günok,Turkey,3930184,65,2,Goal Conceded,Other,No Touch,5.0,36.2,,Standing
Matěj Kovář,Czech Republic,3930184,72,2,Shot Faced,Save,,2.4,42.3,,
Fehmi Mert Günok,Turkey,3930184,77,2,Collected,Other,Collected Twice,8.4,35.2,,
Fehmi Mert Günok,Turkey,3930184,79,2,Shot Faced,Save,,1.4,42.4,,
Fehmi Mert Günok,Turkey,3930184,79,2,Shot Faced,Save,,1.6,40.6,,
Matěj Kovář,Czech Republic,3930184,83,2,Keeper Sweeper,Sweeper,Claim,13.4,33.3,,
Matěj Kovář,Czech Republic,3930184,86,2,Shot Faced,Save,,1.8,40.5,,
Fehmi Mert Günok,Turkey,3930184,90,2,Shot Faced,Save,,1.4,40.8,,
Matěj Kovář,Czech Republic,3930184,91,2,Shot Saved,Save,Saved Twice,1.6,39.3,Both Hands,Standing
Matěj Kovář,Czech Republic,3930184,93,2,Goal Conceded,Other,No Touch,1.7,41.4,,Standing
Fehmi Mert Günok,Turkey,3941022,0,1,Keeper Sweeper,Sweeper,Claim,7.6,46.0,,
Patrick Pentz,Austria,3941022,0,1,Save,Save,In Play Danger,1.8,40.2,Right Hand,Standing
