match_id,shooter,shooting_team,goalkeeper,xg,outcome,shot_x,shot_y,minute,period,is_goal,is_save,is_on_target,distance_to_goal,danger_zone
3938641,Nicolas Seiwald,Austria,Wojciech Szczęsny,0.0339,Saved,95.9,35.7,75,2,0,1,1,24.480604567698073,Penalty area edge
3938641,Marko Arnautović,Austria,Wojciech Szczęsny,0.7835,Goal,108.0,40.0,77,2,1,0,1,12.0,Penalty area close
3938641,Stefan Posch,Austria,Wojciech Szczęsny,0.0405,Saved,97.6,49.9,82,2,0,1,1,24.49020212248156,Penalty area edge
3938641,Konrad Laimer,Austria,Wojciech Szczęsny,0.1634,Off T,115.2,28.3,84,2,0,0,0,12.646343345014794,Penalty area close
3938641,Piotr Zieliński,Poland,Patrick Pentz,0.0144,Off T,91.4,48.8,86,2,0,0,0,29.92323511921797,Outside box
3938641,Kamil Grosicki,Poland,Patrick Pentz,0.1203,Off T,112.7,32.9,92,2,0,0,0,10.183319694480772,Penalty area close
3938642,Adam Hložek,Czech Republic,Giorgi Mamardashvili,0.1179,Saved,110.7,30.3,2,1,0,1,1,13.438005804433928,Penalty area close
3938642,Ladislav Krejčí,Czech Republic,Giorgi Mamardashvili,0.0393,Blocked,108.9,32.4,2,1,0,0,0,13.452509059651286,Penalty area close
3938642,Patrik Schick,Czech Republic,Giorgi Mamardashvili,0.155,Saved,112.8,46.4,2,1,0,1,1,9.633275663033837,6-yard box
3938642,Patrik Schick,Czech Republic,Giorgi Mamardashvili,0.0259,Saved,105.6,41.2,3,1,0,1,1,14.44991349455076,Penalty area close
3938642,Václav Černý,Czech Republic,Giorgi Mamardashvili,0.0302,Blocked,99.6,52.7,7,1,0,0,0,24.030189345904045,Penalty area edge
3938642,Patrik Schick,Czech Republic,Giorgi Mamardashvili,0.0438,Blocked,102.2,37.3,7,1,0,0,0,18.00361074895811,Penalty area edge
3938642,Lukáš Provod,Czech Republic,Giorgi Mamardashvili,0.0293,Blocked,93.5,44.0,12,1,0,0,0,26.800186566514792,Outside box
3938642,Patrik Schick,Czech Republic,Giorgi Mamardashvili,0.0853,Wayward,112.2,42.3,14,1,0,0,0,8.132035415564786,6-yard box
3938642,Ladislav Krejčí,Czech Republic,Giorgi Mamardashvili,0.0419,Wayward,108.5,42.3,22,1,0,0,0,11.727744881263405,Penalty area close
3938642,Adam Hložek,Czech Republic,Giorgi Mamardashvili,0.2912,Saved,113.9,35.8,22,1,0,1,1,7.406078584514207,6-yard box
3938642,Václav Černý,Czech Republic,Giorgi Mamardashvili,0.5315,Saved,113.6,43.0,26,1,0,1,1,7.068238818828922,6-yard box
3938642,Adam Hložek,Czech Republic,Giorgi Mamardashvili,0.0479,Saved,101.1,27.1,28,1,0,1,1,22.88274459062986,Penalty area edge
3938642,Otar Kakabadze,Georgia,Jindřich Staněk,0.013,Blocked,101.1,56.3,33,1,0,0,0,24.95796466060484,Penalty area edge
3938642,Georges Mikautadze,Georgia,Jindřich Staněk,0.7835,Goal,108.1,40.1,48,1,1,0,1,11.900420160649796,Penalty area close
3938642,Patrik Schick,Czech Republic,Giorgi Mamardashvili,0.117,Saved,104.6,39.9,49,1,0,1,1,15.400324671902219,Penalty area close
