match_id,player_name,team_name,type_name,gk_name,xg,outcome,shot_x,shot_y
3930160,Joško Gvardiol,Croatia,Shot,Unai Simón Mendibil,0.05044837,Off T,114.0,27.5
3930160,Andrej Kramarić,Croatia,Shot,Unai Simón Mendibil,0.013197766,Off T,86.3,47.4
3930160,Mateo Kovačić,Croatia,Shot,Unai Simón Mendibil,0.019094488,Off T,91.0,30.4
3930160,Daniel Carvajal Ramos,Spain,Shot,Dominik Livaković,0.30100337,Goal,112.7,42.4
3930160,Joško Gvardiol,Croatia,Shot,Unai Simón Mendibil,0.018449154,Blocked,101.2,24.0
3930160,Lamine Yamal Nasraoui Ebana,Spain,Shot,Dominik Livaković,0.28168085,Saved,108.6,48.3
3930160,Álvaro Borja Morata Martín,Spain,Shot,Dominik Livaković,0.2103611,Wayward,117.4,34.5
3930160,Josip Stanišić,Croatia,Shot,Unai Simón Mendibil,0.22294979,Blocked,111.9,47.8
3930160,Ante Budimir,Croatia,Shot,Unai Simón Mendibil,0.20600665,Blocked,117.0,37.0
3930160,Andrej Kramarić,Croatia,Shot,Unai Simón Mendibil,0.71037304,Saved,118.4,40.0
3930160,Mateo Kovačić,Croatia,Shot,Unai Simón Mendibil,0.099854395,Wayward,115.1,34.4
3930160,Lamine Yamal Nasraoui Ebana,Spain,Shot,Dominik Livaković,0.042338703,Blocked,91.3,45.4
3930160,Daniel Olmo Carvajal,Spain,Shot,Dominik Livaković,0.027441183,Blocked,93.9,39.0
3930160,Bruno Petković,Croatia,Shot,Unai Simón Mendibil,0.7835,Saved,108.0,40.0
3930160,Ivan Perišić,Croatia,Shot,Unai Simón Mendibil,0.035310246,Blocked,101.4,28.7
3930160,Ivan Perišić,Croatia,Shot,Unai Simón Mendibil,0.006942888,Saved,87.3,24.7
3930160,Ferrán Torres García,Spain,Shot,Dominik Livaković,0.012741043,Blocked,109.6,57.8
3930160,Ivan Perišić,Croatia,Shot,Unai Simón Mendibil,0.019089911,Off T,107.8,27.5
3930170,Adam Gnezda Čerin,Slovenia,Shot,Predrag Rajković,0.041358393,Saved,95.6,49.4
3930170,Jan Mlakar,Slovenia,Shot,Predrag Rajković,0.14476232,Saved,109.1,51.7
3930170,Andraž Šporar,Slovenia,Shot,Predrag Rajković,0.07042414,Blocked,108.8,42.9
3930170,Timi Elšnik,Slovenia,Shot,Predrag Rajković,0.023047987,Blocked,90.1,41.2
3930170,Dušan Vlahović,Serbia,Shot,Jan Oblak,0.0682874,Saved,111.0,34.9
3930170,Jan Mlakar,Slovenia,Shot,Predrag Rajković,0.020043343,Wayward,102.6,25.2
3930170,Timi Elšnik,Slovenia,Shot,Predrag Rajković,0.16156586,Post,105.7,50.3
3930170,Andraž Šporar,Slovenia,Shot,Predrag Rajković,0.45923445,Wayward,110.6,38.9
3930170,Benjamin Šeško,Slovenia,Shot,Predrag Rajković,0.23846735,Off T,109.6,35.3
3930170,Dušan Vlahović,Serbia,Shot,Jan Oblak,0.042383377,Blocked,92.3,31.2
3930170,Dušan Vlahović,Serbia,Shot,Jan Oblak,0.01660744,Blocked,95.6,30.9
3930170,Aleksandar Mitrović,Serbia,Shot,Jan Oblak,0.29717425,Saved,116.5,33.3
3930170,Saša Lukić,Serbia,Shot,Jan Oblak,0.08807026,Blocked,103.2,33.6
3930170,Petar Stojanović,Slovenia,Shot,Predrag Rajković,0.023205703,Blocked,94.5,52.5
3930170,Aleksandar Mitrović,Serbia,Shot,Jan Oblak,0.051894434,Off T,113.6,32.8
3930170,Aleksandar Mitrović,Serbia,Shot,Jan Oblak,0.2402346,Saved,112.9,50.7
3930170,Aleksandar Mitrović,Serbia,Shot,Jan Oblak,0.068004765,Blocked,110.2,38.0
3930170,Benjamin Šeško,Slovenia,Shot,Predrag Rajković,0.021775488,Saved,96.0,23.6
3930170,Aleksandar Mitrović,Serbia,Shot,Jan Oblak,0.058491293,Off T,102.7,50.4
3930170,Žan Karničnik,Slovenia,Shot,Predrag Rajković,0.3382771,Goal,114.1,44.7
3930170,Aleksandar Mitrović,Serbia,Shot,Jan Oblak,0.18343204,Post,113.4,38.4
3930170,Sergej Milinković-Savić,Serbia,Shot,Jan Oblak,0.09501195,Blocked,112.9,36.9
3930170,Žan Karničnik,Slovenia,Shot,Predrag Rajković,0.010003904,Off T,96.9,58.1
3930170,Lazar Samardžić,Serbia,Shot,Jan Oblak,0.049244836,Off T,101.2,28.3
3930170,Ivan Ilić,Serbia,Shot,Jan Oblak,0.02786128,Blocked,99.1,30.7
3930170,Mijat Gaćinović,Serbia,Shot,Jan Oblak,0.032908905,Blocked,104.4,43.9
3930170,Luka Jović,Serbia,Shot,Jan Oblak,0.14172395,Goal,114.6,40.3
3938643,Piotr Zieliński,Poland,Shot,Mike Maignan,0.02182334,Saved,93.9,38.9
3938643,Theo Bernard François Hernández,France,Shot,Łukasz Skorupski,0.082832314,Saved,112.6,27.2
3938643,Sebastian Szymański,Poland,Shot,Mike Maignan,0.054202277,Blocked,104.2,25.1
3938643,Kacper Urbanski,Poland,Shot,Mike Maignan,0.06955565,Saved,106.1,38.3
3938643,Jakub Moder,Poland,Shot,Mike Maignan,0.016467048,Off T,89.7,27.9
3938643,Ousmane Dembélé,France,Shot,Łukasz Skorupski,0.24532036,Saved,111.9,50.0
3938643,Robert Lewandowski,Poland,Shot,Mike Maignan,0.08242022,Off T,109.8,43.8
3938643,Aurélien Djani Tchouaméni,France,Shot,Łukasz Skorupski,0.013516772,Blocked,87.3,30.0
3938643,Aurélien Djani Tchouaméni,France,Shot,Łukasz Skorupski,0.050685827,Blocked,99.1,41.7
3938643,William Saliba,France,Shot,Łukasz Skorupski,0.046296313,Off T,107.3,39.0
3938643,Robert Lewandowski,Poland,Shot,Mike Maignan,0.017444821,Wayward,87.5,38.4
3938643,Kylian Mbappé Lottin,France,Shot,Łukasz Skorupski,0.118999206,Saved,115.6,29.2
3938643,Dayotchanculle Upamecano,France,Shot,Łukasz Skorupski,0.09202025,Off T,112.3,37.3
3938643,Kylian Mbappé Lottin,France,Shot,Łukasz Skorupski,0.033283398,Saved,117.6,29.5
3938643,N'Golo Kanté,France,Shot,Łukasz Skorupski,0.06638347,Blocked,100.2,42.3
