match_id,player,team,gk_name,outcome,is_goal,xg,shot_x,shot_y,gk_x,gk_y,dist_off_line,lateral_offset,dist_to_shot,extreme_position,own_keeper_advanced
3930162,Christian Dannemann Eriksen,Denmark,Jan Oblak,Off T,0,0.030444594,114.6,27.9,119.1,36.3,0.9,-3.7,9.53,False,False
3930162,Andraž Šporar,Slovenia,Kasper Schmeichel,Saved,0,0.026201004,114.6,54.5,117.1,48.3,2.9,8.3,6.69,False,False
3930162,Rasmus Winther Højlund,Denmark,Jan Oblak,Saved,0,0.44749036,116.7,41.6,118.0,40.9,2.0,0.9,1.48,False,False
3930163,Sergej Milinković-Savić,Serbia,Jordan Pickford,Off T,0,0.01536182,89.8,27.7,118.7,39.5,1.3,-0.5,31.22,False,False
3930163,Ivan Ilić,Serbia,Jordan Pickford,Blocked,0,0.02291271,90.5,30.5,117.1,38.6,2.9,-1.4,27.81,False,False
3930163,Trent Alexander-Arnold,England,Predrag Rajković,Saved,0,0.023010701,90.8,50.6,117.9,41.2,2.1,1.2,28.68,False,False
3930163,Trent Alexander-Arnold,England,Predrag Rajković,Blocked,0,0.05354343,92.2,46.3,118.9,39.6,1.1,-0.4,27.53,False,False
3930163,Trent Alexander-Arnold,England,Predrag Rajković,Off T,0,0.025817266,95.8,51.0,117.9,42.2,2.1,2.2,23.79,False,False
3930163,Dušan Vlahović,Serbia,Jordan Pickford,Saved,0,0.045151852,96.9,32.1,117.7,38.7,2.3,-1.3,21.82,False,False
3930163,Veljko Birmančević,Serbia,Jordan Pickford,Blocked,0,0.033204958,98.1,35.4,119.5,39.7,0.5,-0.3,21.83,False,False
3930163,Dušan Vlahović,Serbia,Jordan Pickford,Blocked,0,0.037229445,98.9,46.6,118.0,40.2,2.0,0.2,20.14,False,False
3930163,Aleksandar Mitrović,Serbia,Jordan Pickford,Off T,0,0.09554446,103.0,47.3,117.2,42.2,2.8,2.2,15.09,False,False
3930163,Jude Bellingham,England,Predrag Rajković,Goal,1,0.28910747,113.4,39.5,118.9,42.1,1.1,2.1,6.08,False,False
3930163,Harry Kane,England,Predrag Rajković,Saved to Post,0,0.16733526,114.8,36.2,119.2,39.0,0.8,-1.0,5.22,False,False
3930164,Denis Vavro,Slovakia,Koen Casteels,Off T,0,0.0061508114,79.8,40.3,118.2,40.1,1.8,0.1,38.4,False,False
3930164,Leandro Trossard,Belgium,Martin Dúbravka,Off T,0,0.028659014,91.7,24.9,107.0,31.1,13.0,-8.9,16.51,True,False
3930164,Juraj Kucka,Slovakia,Koen Casteels,Off T,0,0.047570586,97.5,49.6,117.8,41.6,2.2,1.6,21.82,False,False
3930164,Yannick Ferreira Carrasco,Belgium,Martin Dúbravka,Blocked,0,0.046634816,98.6,35.1,118.2,39.8,1.8,-0.2,20.16,False,False
3930164,Leandro Trossard,Belgium,Martin Dúbravka,Blocked,0,0.039659355,99.4,31.0,118.6,39.2,1.4,-0.8,20.88,False,False
3930164,Kevin De Bruyne,Belgium,Martin Dúbravka,Blocked,0,0.03400005,99.7,51.7,117.5,42.2,2.5,2.2,20.18,False,False
3930164,Róbert Boženík,Slovakia,Koen Casteels,Saved,0,0.064620696,99.8,38.5,118.0,39.2,2.0,-0.8,18.21,False,False
3930164,Leandro Trossard,Belgium,Martin Dúbravka,Saved,0,0.09907409,99.9,47.5,116.7,40.7,3.3,0.7,18.12,False,False
3930164,Lukáš Haraslín,Slovakia,Koen Casteels,Off T,0,0.02820586,100.0,24.7,117.7,37.2,2.3,-2.8,21.67,False,False
3930164,Johan Bakayoko,Belgium,Martin Dúbravka,Off T,0,0.030715866,100.3,47.6,118.8,40.3,1.2,0.3,19.89,False,False
3930164,Róbert Boženík,Slovakia,Koen Casteels,Blocked,0,0.04691546,102.7,49.3,117.3,41.7,2.7,1.7,16.46,False,False
3930164,Lukáš Haraslín,Slovakia,Koen Casteels,Saved,0,0.100932,103.8,38.0,118.0,39.1,2.0,-0.9,14.24,False,False
3930164,Juraj Kucka,Slovakia,Koen Casteels,Saved,0,0.16258486,105.4,32.4,117.4,37.7,2.6,-2.3,13.12,False,False
3930164,Jeremy Doku,Belgium,Martin Dúbravka,Blocked,0,0.027797548,106.4,57.6,118.1,42.7,1.9,2.7,18.94,False,False
3930164,Kevin De Bruyne,Belgium,Martin Dúbravka,Wayward,0,0.14977165,107.4,41.5,118.4,41.0,1.6,1.0,11.01,False,False
3930164,Amadou Onana,Belgium,Martin Dúbravka,Off T,0,0.034820676,108.7,35.8,119.1,39.7,0.9,-0.3,11.11,False,False
