match_id,player,team,gk_name,outcome,is_goal,xg,shot_x,shot_y,gk_x,gk_y,dist_off_line,lateral_offset,shot_angle_deg,goal_coverage_pct,open_goal_pct
3930164,Amadou Onana,Belgium,Martin Dúbravka,Off T,0,0.034820676,108.7,35.8,119.1,39.7,0.9,-0.3,34.95,0.2716,0.7284
3930164,Kevin De Bruyne,Belgium,Martin Dúbravka,Saved,0,0.123351954,109.4,52.0,118.0,42.9,2.0,2.9,19.43,0.3081,0.6919
3930164,Yannick Ferreira Carrasco,Belgium,Martin Dúbravka,Blocked,0,0.10049267,109.8,39.3,118.3,39.5,1.7,-0.5,42.67,0.3,0.7
3930164,Romelu Lukaku Menama,Belgium,Martin Dúbravka,Saved,0,0.09231648,110.7,53.2,118.6,43.9,1.4,3.9,16.91,0.2943,0.7057
3930164,Johan Bakayoko,Belgium,Martin Dúbravka,Blocked,0,0.195297,110.9,40.0,115.5,37.7,4.5,-2.3,47.46,0.1785,0.8215
3930164,David Strelec,Slovakia,Koen Casteels,Blocked,0,0.12313379,111.6,44.8,118.1,42.7,1.9,2.7,40.89,0.3231,0.6769
3930164,Amadou Onana,Belgium,Martin Dúbravka,Saved,0,0.11087667,112.7,41.8,119.2,40.7,0.8,0.7,55.24,0.2808,0.7192
3930164,Romelu Lukaku Menama,Belgium,Martin Dúbravka,Saved,0,0.54738164,114.4,38.1,118.1,39.4,1.9,-0.6,67.05,0.3784,0.6216
3930164,Romelu Lukaku Menama,Belgium,Martin Dúbravka,Off T,0,0.08940556,114.8,49.2,118.5,43.5,1.5,3.5,23.5,0.3514,0.6486
3930164,Juraj Kucka,Slovakia,Koen Casteels,Off T,0,0.06432098,115.7,49.2,118.2,43.9,1.8,3.9,21.54,0.43,0.57
3930164,Ivan Schranz,Slovakia,Koen Casteels,Goal,1,0.06667144,116.3,28.9,118.5,36.0,1.5,-4.0,13.76,0.4205,0.5795
3930165,Stefan Posch,Austria,Mike Maignan,Off T,0,0.021681927,95.2,54.1,118.0,42.7,2.0,2.7,13.96,0.2719,0.7281
3930165,Marcus Thuram,France,Patrick Pentz,Blocked,0,0.034579307,101.2,26.4,118.4,38.2,1.6,-1.8,16.06,0.2733,0.7267
3930165,Ousmane Dembélé,France,Patrick Pentz,Off T,0,0.01604397,101.6,58.4,118.5,43.2,1.5,3.2,12.55,0.2722,0.7278
3930165,Marcus Thuram,France,Patrick Pentz,Off T,0,0.04839009,103.4,28.8,116.3,36.0,3.7,-4.0,19.03,0.3217,0.6783
3930165,Kylian Mbappé Lottin,France,Patrick Pentz,Blocked,0,0.048833035,103.5,28.8,118.2,38.1,1.8,-1.9,19.08,0.2806,0.7194
3930165,Antoine Griezmann,France,Patrick Pentz,Blocked,0,0.054649312,103.8,52.8,116.9,42.7,3.1,2.7,17.53,0.3092,0.6908
3930165,Kylian Mbappé Lottin,France,Patrick Pentz,Off T,0,0.40426746,103.9,37.9,112.1,39.0,7.9,-1.0,27.48,0.4909,0.5091
3930165,Jules Koundé,France,Patrick Pentz,Blocked,0,0.07075118,106.4,48.3,118.6,43.5,1.4,3.5,24.58,0.2707,0.7293
